,Mean RMSLE,Prediction Time,RMSLE Month 1,RMSLE Month 2,RMSLE Month 3,RMSLE Month 4,RMSLE Month 5,RMSLE Month 6,RMSLE Month 7,RMSLE Month 8,RMSLE Month 9,RMSLE Month 10,RMSLE Month 11,RMSLE Month 12
Best Decision Tree PCA mean,1.214076,0.0024387836,1.495238,1.562570,1.429933,1.312759,1.218370,1.186859,1.075271,1.064338,1.039791,1.033034,0.980601,0.974877
Best Decision Tree PCA to_0,1.213164,0.0026743412,1.439124,1.588450,1.381946,1.340920,1.256412,1.158429,1.050030,1.065692,1.020755,1.037986,1.032412,1.007508
Best SVM ORIGINAL deleted,1.062610,0.9345803261,1.330339,1.298132,1.170432,1.108194,1.061017,1.012051,0.989223,0.999619,0.956612,0.931187,0.915937,0.864740
Best SVM ORIGINAL mean,1.058827,0.9537816048,1.328672,1.296251,1.168561,1.106766,1.058489,1.008037,0.984260,0.990998,0.950047,0.924680,0.911082,0.861510
Best SVM ORIGINAL to_0,1.060880,1.0241534710,1.328668,1.296278,1.168811,1.107149,1.058937,1.009739,0.984664,0.996297,0.955163,0.929422,0.915853,0.866013
Best SVM PCA deleted,1.135873,0.2765376568,1.250120,1.306910,1.239428,1.142183,1.107085,1.191500,0.992152,1.059115,1.018168,1.216474,1.026743,1.024128
Best SVM PCA mean,1.168529,0.2800981998,1.223474,1.261854,1.211167,1.127303,1.188329,1.185742,1.096702,1.038014,1.183776,1.210457,1.157851,1.119435
Best SVM PCA to_0,1.166285,0.2821173668,1.238476,1.274427,1.306303,1.199339,1.087126,1.130818,1.162117,1.106758,1.093399,1.069129,1.141580,1.158465
Best Random Forest ORIGINAL deleted,0.820328,0.0174796581,0.922086,1.047071,0.982232,0.906303,0.819314,0.770825,0.790482,0.715458,0.708743,0.710685,0.676035,0.689839
Best Random Forest ORIGINAL mean,0.732518,0.1018586159,0.746411,0.870780,0.866733,0.793106,0.727464,0.705250,0.704401,0.643184,0.651185,0.693493,0.676987,0.666056
Best Random Forest ORIGINAL to_0,0.722581,0.0505330563,0.719601,0.838167,0.823121,0.790764,0.714138,0.697828,0.691790,0.657039,0.659362,0.695896,0.680005,0.673519
Best Random Forest PCA deleted,0.985010,0.0754601955,1.187790,1.252747,1.132911,1.095548,0.994644,0.937819,0.912520,0.893888,0.857391,0.831532,0.810210,0.771659
Best Random Forest PCA mean,0.979525,0.0322971344,1.174247,1.246775,1.122780,1.093669,0.986539,0.943392,0.898429,0.887020,0.853363,0.823564,0.803697,0.783547
Best Random Forest PCA to_0,0.970606,0.0783705711,1.185529,1.242550,1.111013,1.103029,0.971670,0.910296,0.885109,0.878418,0.837795,0.811592,0.788670,0.770760
Best linearRegression PCA mean,1.563591,0.0154232979,2.034110,1.966508,1.735246,1.563725,1.603901,1.517109,1.339679,1.352304,1.431370,1.316306,1.427153,1.249356
Best linearRegression PCA deleted,1.521211,0.0148038864,1.864731,1.947694,1.639890,1.429583,1.541629,1.413333,1.427328,1.411989,1.436212,1.310158,1.331152,1.345005
Best linearRegression ORIGINAL to_0,7.546102,0.0171282291,7.748583,7.712274,7.778218,7.515418,6.695614,7.225332,7.538557,7.474569,7.578183,7.736491,7.714647,7.764558
Best linearRegression ORIGINAL mean,7.435435,0.0104722977,7.866502,7.870514,7.514470,7.425481,7.241284,7.146298,7.063062,7.167441,7.291288,7.602188,7.593811,7.389830
Best linearRegression PCA to_0,1.550057,0.0037975311,1.999229,1.978962,1.587612,1.571416,1.551909,1.395335,1.322463,1.438516,1.452539,1.472344,1.320507,1.316826
Best linearRegression ORIGINAL deleted,7.296916,0.0087008476,7.743099,7.323768,7.456229,7.139495,7.773536,7.447392,7.460495,6.452405,7.063610,7.166623,7.152708,7.292370
